3177,"Babyfood, juice, orange and pineapple",48,0.5,11.7
42267,"Babyfood, juice, orange-carrot",43,0.5,9.9
43408,"Babyfood, juice, pear",47,0,11.86
3178,"Babyfood, juice, prune and orange",70,0.6,16.8
3048,"Babyfood, macaroni and cheese, toddler",82,3.5,11.2
3959,"Babyfood, mashed cheddar potatoes and broccoli, toddlers",48,1.11,7.47
43417,"Babyfood, meat, beef with vegetables, toddler",68,3.5,8.72
3003,"Babyfood, meat, beef, junior",81,12.03,2.43
3002,"Babyfood, meat, beef, strained",81,12.03,2.43
3014,"Babyfood, meat, chicken sticks, junior",188,14.6,1.5
3013,"Babyfood, meat, chicken, junior",146,14,0
3012,"Babyfood, meat, chicken, strained",130,13.7,0.1
3009,"Babyfood, meat, ham, junior",97,11.3,3.7
3008,"Babyfood, meat, ham, strained",97,11.3,3.7
3011,"Babyfood, meat, lamb, junior",112,15.2,0
3010,"Babyfood, meat, lamb, strained",87,14.07,0.85
3021,"Babyfood, meat, meat sticks, junior",184,13.4,1.1
3007,"Babyfood, meat, pork, strained",124,14,0
3017,"Babyfood, meat, turkey sticks, junior",188,13.7,1.4
3016,"Babyfood, meat, turkey, junior",111,11.5,1.4
3015,"Babyfood, meat, turkey, strained",111,11.5,1.4
3005,"Babyfood, meat, veal, strained",81,13.12,1.51
42120,"Babyfood, mixed fruit juice with low fat yogurt",76,2.4,14.68
43523,"Babyfood, mixed fruit yogurt, strained",75,0.8,16.23
3205,"Babyfood, oatmeal cereal with fruit, dry, instant, toddler fortified",402,10.5,74.1
3161,"Babyfood, peaches, dices, toddler",51,0.5,11.8
3141,"Babyfood, pears, dices, toddler",57,0.3,13.6
42279,"Babyfood, peas and brown rice",64,3.4,11.49
3122,"Babyfood, peas, dices, toddler",64,3.9,10.3
3293,"Babyfood, plums, bananas and rice, strained",57,1.1,12.7
3112,"Babyfood, potatoes, toddler",52,1,11.73
3215,"Babyfood, pretzels",397,10.8,82.2
3139,"Babyfood, prunes, without vitamin c, strained",100,1,23.52
3046,"Babyfood, ravioli, cheese filled, with tomato sauce",99,3.6,16.3
43529,"Babyfood, rice and apples, dry",396,6.7,86.89
3019,"Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars",330,0.82,76.61
3998,"Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack",503,0,61.59
3302,"Babyfood, snack, GERBER, GRADUATES, YOGURT MELTS",380,14.29,71.82
42278,"Babyfood, vegetable and brown rice, strained",69,1.9,12.1
3114,"Babyfood, vegetable, butternut squash and corn",50,2,9.26
3096,"Babyfood, vegetable, green beans and potatoes",62,2.2,9
3098,"Babyfood, vegetables, beets, strained",34,1.3,7.7
3100,"Babyfood, vegetables, carrots, junior",32,0.8,7.2
3099,"Babyfood, vegetables, carrots, strained",26,0.8,6
3120,"Babyfood, vegetables, corn, creamed, junior",65,1.4,16.25
3119,"Babyfood, vegetables, corn, creamed, strained",57,1.4,14.1
3283,"Babyfood, vegetables, garden vegetable, strained",32,2.3,6.8
3092,"Babyfood, vegetables, green beans, junior",24,1.2,5.8
3091,"Babyfood, vegetables, green beans, strained",27,1.2,6.29
3282,"Babyfood, vegetables, mix vegetables junior",36,1.4,8.2
3286,"Babyfood, vegetables, mix vegetables strained",36,1,8.25
3121,"Babyfood, vegetables, peas, strained",50,3.27,8.36
3127,"Babyfood, vegetables, spinach, creamed, strained",37,2.5,5.7
3105,"Babyfood, vegetables, squash, junior",24,0.81,5.73
3104,"Babyfood, vegetables, squash, strained",28,0.81,5.73
3108,"Babyfood, vegetables, sweet potatoes strained",57,1.1,13.2
3109,"Babyfood, vegetables, sweet potatoes, junior",60,1.1,14
3024,"Babyfood, water, bottled, GERBER, without added fluoride.",0,0,0
3956,"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified",98,3.4,13.22
3965,"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified",92,3.05,13
18005,"Bagels, cinnamon-raisin",274,9.8,55.2
18006,"Bagels, cinnamon-raisin, toasted",294,10.6,59.3
18003,"Bagels, egg",278,10.6,53
28322,"Bagels, multigrain",241,9.9,47.47
18007,"Bagels, oat bran",255,10.7,53.3
18001,"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",264,10.56,52.38
18002,"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame), toasted",287,11.14,57.39
18406,"Bagels, plain, enriched, without calcium propionate (includes onion, poppy, sesame)",275,10.5,53.4
18407,"Bagels, plain, unenriched, with calcium propionate (includes onion, poppy, sesame)",275,10.5,53.4
18408,"Bagels, plain, unenriched, without calcium propionate(includes onion, poppy, sesame)",275,10.5,53.4
18968,"Bagels, wheat",250,10.2,48.89
28319,"Bagels, whole grain white",255,9.3,54.52
18991,"BARBARA DEE, Winter Mints Cookies",515,3.9,67.1
20130,Barley flour or meal,345,10.5,74.52
20131,Barley malt flour,361,10.28,78.3
20004,"Barley, hulled",354,12.48,73.48
20006,"Barley, pearled, cooked",123,2.26,28.22
20005,"Barley, pearled, raw",352,9.91,77.72
18993,"BEAR NAKED, Double Chocolate Cookies",423,6.6,66.9
18994,"BEAR NAKED, Fruit  &  Nut Cookies",443,7.5,61.6
23491,"Beef composite, separable lean only, trimmed to 1/8"" fat, choice, cooked",203,28.73,0
23296,"Beef, Australian, imported, grass-fed,  external fat, raw",509,11.32,0.39
23293,"Beef, Australian, imported, grass-fed, ground, 85% lean / 15% fat, raw",234,17.72,0
23302,"Beef, Australian, imported, grass-fed, loin, tenderloin steak/roast, boneless, separable lean and fat, raw",151,20.53,0.01
23294,"Beef, Australian, imported, grass-fed, loin, tenderloin steak/roast, boneless, separable lean only, raw",138,20.85,0
23305,"Beef, Australian, imported, grass-fed, loin, top loin steak/roast, boneless, separable lean and fat, raw",199,19.9,0.11
23303,"Beef, Australian, imported, grass-fed, loin, top loin steak/roast, boneless, separable lean only, raw",131,21.79,0
23315,"Beef, Australian, imported, grass-fed, loin, top sirloin cap-off steak/roast, boneless, separable lean and fat, raw",127,21.77,0.01
23306,"Beef, Australian, imported, grass-fed, loin, top sirloin cap-off steak/roast, boneless, separable lean only, raw",122,21.9,0
23316,"Beef, Australian, imported, grass-fed, rib, ribeye steak/roast lip-on, boneless, separable lean and fat, raw",217,19.8,0.11
23307,"Beef, Australian, imported, grass-fed, rib, ribeye steak/roast lip-on, boneless, separable lean only, raw",160,21.47,0
23317,"Beef, Australian, imported, grass-fed, round, bottom round steak/roast, boneless, separable lean and fat, raw",140,21.13,0.01
23308,"Beef, Australian, imported, grass-fed, round, bottom round steak/roast, boneless, separable lean only, raw",130,21.4,0
23318,"Beef, Australian, imported, grass-fed, round, top round cap-off steak/roast, boneless, separable lean and fat, raw",129,22.24,0
23309,"Beef, Australian, imported, grass-fed, round, top round cap-off steak/roast, boneless, separable lean only, raw",129,22.41,0
23297,"Beef, Australian, imported, grass-fed, seam fat, raw",562,9.58,1.06
23298,"Beef, Australian, imported, Wagyu, external fat, Aust. marble score 4/5, raw",596,6.54,0
23300,"Beef, Australian, imported, Wagyu, external fat, Aust. marble score 9, raw",639,5.54,0.97
23304,"Beef, Australian, imported, Wagyu, loin, tenderloin steak/roast, boneless, separable lean and fat, Aust. marble score 4/5, raw",206,19.71,0
23323,"Beef, Australian, imported, Wagyu, loin, tenderloin steak/roast, boneless, separable lean and fat, Aust. marble score 9, raw",248,18.5,0.58
